"filename", "language", "Markdown", "JavaScript", "Vue", "HTML", "JSON", "SCSS", "SVG", "JSON with Comments", "comment", "blank", "total"
"d:\comm-client\README.md", "Markdown", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\comm-client\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\comm-client\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 5, 9, 0, 14
"d:\comm-client\package-lock.json", "JSON", 0, 0, 0, 0, 13560, 0, 0, 0, 0, 1, 13561
"d:\comm-client\package.json", "JSON", 0, 0, 0, 0, 52, 0, 0, 0, 0, 1, 53
"d:\comm-client\permission.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 2, 1, 30
"d:\comm-client\public\index.html", "HTML", 0, 0, 0, 16, 0, 0, 0, 0, 1, 1, 18
"d:\comm-client\src\App.vue", "Vue", 0, 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"d:\comm-client\src\api\index.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 4, 0, 39
"d:\comm-client\src\api\shoppingCart.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 0, 8
"d:\comm-client\src\api\user.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"d:\comm-client\src\components\Footer\index.vue", "Vue", 0, 0, 167, 0, 0, 0, 0, 0, 0, 13, 180
"d:\comm-client\src\components\Header\index.vue", "Vue", 0, 0, 197, 0, 0, 0, 0, 0, 0, 4, 201
"d:\comm-client\src\components\SvgIcon\index.vue", "Vue", 0, 0, 40, 0, 0, 0, 0, 0, 0, 2, 42
"d:\comm-client\src\components\TypeNav\index.vue", "Vue", 0, 0, 240, 0, 0, 0, 0, 0, 3, 6, 249
"d:\comm-client\src\components\com_dispaly\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\comm-client\src\icons\index.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"d:\comm-client\src\icons\svg\account.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\age.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\arrow.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\arrow2.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\cat.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\lock.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\order.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\remind.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\select.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\shopcart.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\shoppingCart.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\store.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\main.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\comm-client\src\mock\commodity.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 66
"d:\comm-client\src\router\index.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 1, 1, 37
"d:\comm-client\src\store\getters.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\comm-client\src\store\index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 3, 4, 23
"d:\comm-client\src\store\modules\commodity.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 35
"d:\comm-client\src\store\modules\home.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\comm-client\src\store\modules\user.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 50
"d:\comm-client\src\styles\index.scss", "SCSS", 0, 0, 0, 0, 0, 39, 0, 0, 0, 5, 44
"d:\comm-client\src\utils\manage.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"d:\comm-client\src\utils\request.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 4, 28
"d:\comm-client\src\utils\user.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\comm-client\src\views\Commodity\index.vue", "Vue", 0, 0, 236, 0, 0, 0, 0, 0, 0, 3, 239
"d:\comm-client\src\views\Home\index.vue", "Vue", 0, 0, 87, 0, 0, 0, 0, 0, 0, 2, 89
