"filename", "language", "HTML", "Vue", "JavaScript", "SVG", "comment", "blank", "total"
"d:\comm-client\public\index.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"d:\comm-client\src\api\index.js", "JavaScript", 0, 0, 7, 0, 1, 0, 8
"d:\comm-client\src\api\shoppingCart.js", "JavaScript", 0, 0, 7, 0, 1, 0, 8
"d:\comm-client\src\api\user.js", "JavaScript", 0, 0, 20, 0, 5, 0, 25
"d:\comm-client\src\components\Header\index.vue", "Vue", 0, -2, 0, 0, 0, 0, -2
"d:\comm-client\src\icons\svg\add.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"d:\comm-client\src\icons\svg\edit.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"d:\comm-client\src\icons\svg\person.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"d:\comm-client\src\icons\svg\reduce.svg", "SVG", 0, 0, 0, 1, 0, 0, 1
"d:\comm-client\src\mock\shoppingCart.js", "JavaScript", 0, 0, 29, 0, 0, 0, 29
"d:\comm-client\src\router\index.js", "JavaScript", 0, 0, 31, 0, 0, 1, 32
"d:\comm-client\src\views\Commodity\index.vue", "Vue", 0, 9, 0, 0, 0, 0, 9
"d:\comm-client\src\views\Home\index.vue", "Vue", 0, 6, 0, 0, 0, 0, 6
"d:\comm-client\src\views\Personal\index.vue", "Vue", 0, 12, 0, 0, 0, 5, 17
"d:\comm-client\src\views\shoppingCart\index.vue", "Vue", 0, 214, 0, 0, 0, 1, 215
"d:\comm-client\src\views\shoppingCart\settlement\index.vue", "Vue", 0, 38, 0, 0, 0, 2, 40
"d:\comm-client\src\views\shoppingCart\settlement\payOk\index.vue", "Vue", 0, 14, 0, 0, 0, 2, 16
"d:\comm-client\src\views\shoppingCart\settlement\payOrder\index.vue", "Vue", 0, 73, 0, 0, 0, 4, 77
"d:\comm-client\src\views\shoppingCart\settlement\placeOrder\index.vue", "Vue", 0, 192, 0, 0, 0, 2, 194
"Total", "-", 1, 556, 94, 4, 7, 17, 679
