"filename", "language", "Markdown", "SCSS", "JavaScript", "HTML", "Vue", "JSON", "SVG", "JSON with Comments", "comment", "blank", "total"
"d:\comm-client\README.md", "Markdown", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\comm-client\babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\comm-client\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 5, 9, 0, 14
"d:\comm-client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 13560, 0, 0, 0, 1, 13561
"d:\comm-client\package.json", "JSON", 0, 0, 0, 0, 0, 52, 0, 0, 0, 1, 53
"d:\comm-client\permission.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 2, 1, 30
"d:\comm-client\public\index.html", "HTML", 0, 0, 0, 17, 0, 0, 0, 0, 1, 1, 19
"d:\comm-client\src\App.vue", "Vue", 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"d:\comm-client\src\api\index.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 5, 0, 47
"d:\comm-client\src\api\shoppingCart.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 2, 0, 16
"d:\comm-client\src\api\user.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 5, 0, 46
"d:\comm-client\src\components\Footer\index.vue", "Vue", 0, 0, 0, 0, 167, 0, 0, 0, 0, 13, 180
"d:\comm-client\src\components\Header\index.vue", "Vue", 0, 0, 0, 0, 195, 0, 0, 0, 0, 4, 199
"d:\comm-client\src\components\SvgIcon\index.vue", "Vue", 0, 0, 0, 0, 40, 0, 0, 0, 0, 2, 42
"d:\comm-client\src\components\TypeNav\index.vue", "Vue", 0, 0, 0, 0, 240, 0, 0, 0, 3, 6, 249
"d:\comm-client\src\components\com_dispaly\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\comm-client\src\icons\index.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"d:\comm-client\src\icons\svg\account.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\add.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\age.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\arrow.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\arrow2.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\cat.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\edit.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\lock.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\order.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\person.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\reduce.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\remind.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\select.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\shopcart.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\comm-client\src\icons\svg\shoppingCart.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
